+--------------------------+--------+
| food                     | amount |
+--------------------------+--------+
| 味噌ラーメン             |     11 |
| ラーメン                 |     34 |
| タンメン                 |     11 |
| もやしラーメン           |      8 |
| 五目ラーメン             |     21 |
| とんこつラーメン         |     17 |
| チャーシューメン         |     11 |
| 味噌チャーシュー         |      9 |
| ねぎラーメン             |     35 |
| 味噌ねぎラーメン         |      7 |
| チャーハン               |     19 |
| 五目チャーハン           |     13 |
| 海老チャーハン           |      4 |
| 中華飯                   |     14 |
| 餃子                     |     21 |
| 野菜餃子                 |     18 |
| シュウマイ               |      5 |
| 春巻き                   |      5 |
| オレンジジュース         |      1 |
| ウーロン茶               |      2 |
| オレンジジュース         |      2 |
+--------------------------+--------+
21 rows in set (0.00 sec)
+------------+--------------------------+--------------+--------+
| date       | food                     | foodgroup    | amount |
+------------+--------------------------+--------------+--------+
| 2006/12/25 | 味噌ラーメン             | 麺           |     21 |
| 2006/12/25 | ラーメン                 | 麺           |     36 |
| 2006/12/25 | タンメン                 | 麺           |     17 |
| 2006/12/25 | もやしラーメン           | 麺           |     14 |
| 2006/12/25 | 五目ラーメン             | 麺           |     30 |
| 2006/12/25 | とんこつラーメン         | 麺           |     39 |
| 2006/12/25 | チャーシューメン         | 麺           |     11 |
| 2006/12/25 | 味噌チャーシュー         | 麺           |      8 |
| 2006/12/25 | ねぎラーメン             | 麺           |     24 |
| 2006/12/25 | 味噌ねぎラーメン         | 麺           |      5 |
| 2006/12/25 | チャーハン               | ご飯         |     16 |
| 2006/12/25 | 五目チャーハン           | ご飯         |      8 |
| 2006/12/25 | 海老チャーハン           | ご飯         |      3 |
| 2006/12/25 | 中華飯                   | ご飯         |     11 |
| 2006/12/25 | 餃子                     | 飲茶         |     56 |
| 2006/12/25 | 野菜餃子                 | 飲茶         |     28 |
| 2006/12/25 | シュウマイ               | 飲茶         |      7 |
| 2006/12/25 | 春巻き                   | 飲茶         |      9 |
| 2006/12/25 | オレンジジュース         | ドリンク     |      4 |
| 2006/12/25 | ウーロン茶               | ドリンク     |      8 |
| 2006/12/25 | サイダー                 | ドリンク     |      1 |
| 2006/12/26 | 味噌ラーメン             | 麺           |     32 |
| 2006/12/26 | ラーメン                 | 麺           |     45 |
| 2006/12/26 | タンメン                 | 麺           |     11 |
| 2006/12/26 | もやしラーメン           | 麺           |      5 |
| 2006/12/26 | 五目ラーメン             | 麺           |     12 |
| 2006/12/26 | とんこつラーメン         | 麺           |     24 |
